"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:38:30 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp02_+SIW
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

TimeStep,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
74,0.7524903,0.7483284,0.1757148,17.99957,2.074661,27.46554,4.832376,11.42541,69.65324,62.88704,41.06648,226.1836,234.2572,4484.023
75,0.7527478,0.7483019,0.1756213,17.99882,2.074762,27.46502,4.833405,11.42587,69.64203,62.88535,41.06244,226.1335,234.2611,4483.894
76,0.7530429,0.7482523,0.1755189,17.99776,2.074906,27.46443,4.834413,11.42632,69.63059,62.88322,41.05774,226.0846,234.2661,4483.781
77,0.7533724,0.748178,0.1754081,17.99644,2.075096,27.4638,4.835386,11.42673,69.61909,62.88071,41.05247,226.0373,234.2721,4483.688
78,0.7537309,0.7480783,0.1752897,17.99489,2.07533,27.46315,4.836316,11.42712,69.6077,62.87785,41.04668,225.9925,234.2791,4483.616
79,0.7541191,0.7479523,0.1751644,17.9932,2.075609,27.46251,4.837193,11.42747,69.59651,62.87469,41.04044,225.9506,234.2867,4483.564
80,0.7545298,0.7477992,0.175033,17.99138,2.075934,27.4619,4.838009,11.42778,69.58566,62.87126,41.03376,225.9119,234.295,4483.531
81,0.7549599,0.7476192,0.174896,17.98947,2.076303,27.46134,4.838759,11.42807,69.57526,62.86761,41.02673,225.8771,234.3037,4483.518
82,0.7554085,0.7474125,0.1747543,17.98752,2.076714,27.46083,4.839437,11.42831,69.56539,62.86375,41.01938,225.8464,234.3128,4483.522
83,0.7558706,0.7471795,0.1746083,17.98554,2.077166,27.46041,4.840038,11.42852,69.5561,62.85975,41.01175,225.82,234.3221,4483.546
84,0.7563418,0.7469208,0.1744587,17.98355,2.077656,27.46008,4.84056,11.42869,69.54752,62.85561,41.00388,225.7982,234.3314,4483.584
85,0.7568163,0.7466375,0.1743059,17.98158,2.07818,27.45987,4.841001,11.42884,69.53963,62.85138,40.9958,225.7811,234.3407,4483.637
86,0.7572914,0.7463309,0.1741507,17.97962,2.078738,27.45978,4.841364,11.42895,69.53253,62.84707,40.98756,225.7686,234.3498,4483.705
87,0.7577638,0.7460025,0.1739935,17.97772,2.079324,27.45982,4.841647,11.42903,69.52618,62.8427,40.97919,225.7608,234.3586,4483.785
88,0.758231,0.7456539,0.1738348,17.97587,2.079937,27.45999,4.841855,11.42909,69.52063,62.83834,40.97072,225.7577,234.3671,4483.874
89,0.7586907,0.7452869,0.1736752,17.97408,2.080574,27.46031,4.841989,11.42913,69.5159,62.83395,40.9622,225.759,234.3752,4483.971
90,0.759138,0.7449037,0.173515,17.97238,2.081228,27.46078,4.842058,11.42915,69.51196,62.82959,40.95363,225.7646,234.3828,4484.075
91,0.7596159,0.7445062,0.1733548,17.97091,2.081913,27.4614,4.842065,11.42915,69.5088,62.82526,40.94508,225.774,234.3899,4484.183
92,0.7600782,0.7440933,0.1731942,17.96954,2.082609,27.46216,4.842014,11.42915,69.50639,62.82097,40.93653,225.7872,234.3963,4484.294
93,0.7605118,0.7436666,0.1730334,17.96821,2.083311,27.46308,4.841916,11.42914,69.50466,62.81671,40.92804,225.8038,234.4023,4484.405
94,0.760911,0.743229,0.172873,17.9669,2.084012,27.46416,4.841778,11.42913,69.50361,62.81252,40.91964,225.8233,234.4076,4484.515
95,0.7612738,0.7427832,0.1727133,17.96561,2.08471,27.46537,4.841607,11.42912,69.50318,62.80836,40.9113,225.8453,234.4123,4484.624
96,0.7615997,0.742332,0.1725549,17.96435,2.085399,27.46672,4.841411,11.42912,69.5033,62.8043,40.90314,225.8696,234.4165,4484.726
97,0.7618892,0.7418776,0.1723981,17.9631,2.086077,27.46821,4.841198,11.42914,69.50395,62.80028,40.89515,225.8955,234.42,4484.824
98,0.7621401,0.741423,0.1722435,17.96188,2.086739,27.46982,4.840977,11.42916,69.50508,62.7964,40.88736,225.9226,234.423,4484.915
99,0.7623513,0.7409698,0.1720913,17.96068,2.087383,27.47155,4.840756,11.42921,69.50662,62.79261,40.87981,225.9507,234.4256,4484.997
100,0.7625415,0.7405212,0.171942,17.95965,2.088024,27.47339,4.840544,11.42928,69.50851,62.78893,40.87253,225.9792,234.4276,4485.071
101,0.7627068,0.7400793,0.1717959,17.95874,2.088649,27.47533,4.840347,11.42938,69.51069,62.78539,40.86556,226.0076,234.4292,4485.135
102,0.7628465,0.7396463,0.1716532,17.95791,2.089255,27.47735,4.840171,11.4295,69.51308,62.78198,40.85888,226.0357,234.4304,4485.188
103,0.7629583,0.7392225,0.1715137,17.95716,2.089836,27.47945,4.840025,11.42966,69.51566,62.77872,40.85254,226.0629,234.4313,4485.231
104,0.7630419,0.7388099,0.1713778,17.9565,2.090392,27.48162,4.839915,11.42984,69.51829,62.77561,40.84652,226.089,234.4319,4485.262
105,0.763094,0.7384087,0.1712454,17.95589,2.090919,27.48383,4.839841,11.43006,69.52099,62.77264,40.84086,226.1136,234.4322,4485.284
106,0.7631173,0.7380202,0.1711165,17.95535,2.091415,27.48608,4.839815,11.43031,69.52365,62.76984,40.83557,226.1365,234.4324,4485.292
107,0.763113,0.7376444,0.1709913,17.95489,2.09188,27.48837,4.839835,11.43059,69.52628,62.76719,40.83067,226.1573,234.4324,4485.291
108,0.7630814,0.7372825,0.1708697,17.95448,2.092311,27.49067,4.839904,11.4309,69.52876,62.76472,40.82614,226.1759,234.4323,4485.278
109,0.7630226,0.7369338,0.1707517,17.95413,2.092709,27.49299,4.84003,11.43125,69.5311,62.76241,40.82199,226.192,234.4322,4485.257
110,0.7629381,0.736599,0.1706374,17.95385,2.093072,27.49531,4.840208,11.43163,69.53323,62.76024,40.81824,226.2057,234.432,4485.226
111,0.7628288,0.7362781,0.1705266,17.95361,2.093401,27.49762,4.840439,11.43203,69.53513,62.75823,40.8149,226.2167,234.4319,4485.187
112,0.7626953,0.7359704,0.1704192,17.95342,2.093694,27.4999,4.840727,11.43246,69.53679,62.75638,40.81193,226.2251,234.4318,4485.142
113,0.7625381,0.7356759,0.1703154,17.95326,2.093953,27.50217,4.841067,11.43292,69.53815,62.75466,40.80935,226.2307,234.4319,4485.088
114,0.7623573,0.7353948,0.170215,17.95313,2.094177,27.50439,4.841457,11.43341,69.53925,62.7531,40.80714,226.2339,234.432,4485.03
115,0.7621549,0.7351261,0.1701179,17.95302,2.094367,27.50659,4.841896,11.43391,69.54002,62.75167,40.80531,226.2344,234.4323,4484.968
116,0.7619334,0.7348692,0.1700241,17.95293,2.094523,27.50875,4.842382,11.43443,69.5405,62.75037,40.80382,226.2323,234.4328,4484.902
117,0.7616938,0.7346244,0.1699336,17.95286,2.094648,27.51085,4.842911,11.43497,69.54069,62.74917,40.80268,226.228,234.4334,4484.834
118,0.7614369,0.7343902,0.1698462,17.95279,2.094745,27.51291,4.843477,11.43552,69.54057,62.74812,40.80187,226.2214,234.4342,4484.764
119,0.7611645,0.7341663,0.1697618,17.95272,2.094811,27.51492,4.844078,11.43607,69.54018,62.74715,40.80136,226.2129,234.4353,4484.694
120,0.7608783,0.7339517,0.1696804,17.95267,2.09485,27.51687,4.844707,11.43664,69.53952,62.74629,40.80117,226.2026,234.4365,4484.625
121,0.7705321,0.744774,0.1721841,18.25862,2.133748,27.73305,4.882025,11.63328,70.88593,63.85015,41.1418,228.2716,236.5145,4484.559
122,0.7907959,0.7631624,0.1743098,18.42679,2.141757,27.8256,4.899122,11.83783,70.95798,64.77678,41.16988,228.0126,236.332,4482.987
123,0.7905381,0.7671485,0.1737847,18.39512,2.139722,27.78993,4.894355,12.04556,70.91664,65.77069,41.10704,227.8724,236.2505,4482.25
