"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:41:36 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp03_+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional biomass by group (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

TimeStep,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
111,0.5195717,2.669819,4.723694,10.91014,47.56371,75.24013,60.6884,264.0049,382.3298
112,0.5195107,2.670835,4.723587,10.90917,47.56308,75.24038,60.68853,264.0044,382.3304
113,0.5194512,2.671824,4.723484,10.90815,47.56262,75.24068,60.68864,264.004,382.3307
114,0.5193931,2.672782,4.723385,10.90709,47.56226,75.24097,60.68873,264.0038,382.3313
115,0.5193363,2.673708,4.723292,10.906,47.56204,75.24128,60.68879,264.0038,382.3318
116,0.5192807,2.6746,4.723206,10.90488,47.56197,75.24156,60.68882,264.0039,382.3321
117,0.5192267,2.675453,4.723128,10.90374,47.56203,75.24187,60.68884,264.0042,382.3325
118,0.5191744,2.676267,4.723058,10.90258,47.56223,75.24215,60.68882,264.0047,382.3329
119,0.5191232,2.677039,4.723,10.90141,47.56256,75.24239,60.68877,264.0052,382.3332
120,0.5190735,2.677766,4.72295,10.90025,47.56304,75.24261,60.68872,264.006,382.3333
121,0.5190255,2.678451,4.722913,10.89908,47.56365,75.24278,60.68863,264.007,382.3335
122,0.5189788,2.679088,4.72289,10.89793,47.56436,75.24292,60.68852,264.0081,382.3337
123,0.5189335,2.679678,4.722879,10.89679,47.56519,75.243,60.68839,264.0092,382.3337
124,0.5188896,2.680218,4.722884,10.89568,47.56612,75.24303,60.68826,264.0106,382.3338
125,0.5188473,2.68071,4.722905,10.89458,47.56715,75.243,60.68814,264.012,382.3337
126,0.5188065,2.68115,4.722939,10.89352,47.56826,75.24293,60.68798,264.0136,382.3336
127,0.5187668,2.681541,4.722988,10.89248,47.56942,75.24279,60.68784,264.0152,382.3336
128,0.5187286,2.681881,4.723053,10.89149,47.57067,75.2426,60.68771,264.0171,382.3335
129,0.5186917,2.682171,4.723137,10.89054,47.57195,75.24236,60.68755,264.019,382.3335
130,0.5186564,2.68241,4.723233,10.88963,47.57329,75.24205,60.68743,264.0208,382.3335
131,0.518622,2.6826,4.723347,10.88877,47.57463,75.24171,60.68732,264.0228,382.3334
132,0.518589,2.68274,4.723476,10.88795,47.57601,75.24131,60.68724,264.0248,382.3335
133,0.5185574,2.682831,4.723618,10.88718,47.57739,75.24089,60.68716,264.027,382.3337
134,0.5185267,2.682874,4.723775,10.88647,47.57877,75.2404,60.68713,264.0291,382.334
135,0.5184973,2.68287,4.723946,10.8858,47.58014,75.23988,60.68711,264.0313,382.3343
136,0.5184687,2.682821,4.724129,10.88518,47.58148,75.23934,60.68713,264.0334,382.3347
137,0.5184415,2.682729,4.724324,10.88462,47.58281,75.23882,60.68717,264.0356,382.3353
